text;normalization
Tolong brsihkan kmr mandi.;Tolong bersihkan kamar mandi.
Kta brmain bola stiap minggu.;Kita bermain bola setiap minggu.
Sya tida mngerti mngapa dia trluka.;Saya tidak mengerti mengapa dia terluka.
Msa depan adlah msa yg bhgia.;Masa depan adalah masa yang bahagia.
Mri kita minum air.;Mari kita minum air.
Tlpn sya jika ada prmasalahan.;Telepon saya jika ada masalah.
Saaya sedagn mkaan nasi goereng.;Saya sedang makan nasi goreng.
Si pak tukang sayur itu skaaliannya ramah bngt.;Si pak tukang sayur itu sangat ramah banget.
Kemaren saya beli bju di mal, harganya murahhaan.;Kemarin saya beli baju di mal, harganya murahan.
Pejuang bahasaa isyarat berjuang untuk hak merekka.;Pejuang bahasa isyarat berjuang untuk hak mereka.
Saya pingin punya baanyak uang biar bisa beliin kado buat orng tua.;Saya ingin punya banyak uang agar bisa beliin kado untuk orang tua.
Tasnya itu warnanya biru tua baguus banget.;Tasnya itu warnanya biru tua bagus banget.
Td malem aku maen game sm tmn2 sampe larut.;Tadi malam aku main game sama teman-teman sampai larut.
Aku gak bisa mkn pedes, soalnya lambungku sering kambuh.;Aku tidak bisa makan pedas, soalnya lambungku sering kambuh.
Lagi ada apa tuh di papan itu? Kok rame bngt.;Lagi ada apa tuh di papan itu? Kok rame banget.
Sahabatku ulang tahun besok, harus bliau kado apa ya?;Sahabatku ulang tahun besok, harus beli kado apa ya?
Kamu blm prnh nyoba mkn di rmh mkan itu? Enak lho masakannyaa.;Kamu belum pernah nyoba makan di rumah makan itu? Enak lho masakannya.
Tolong tlgin aku cariin buku itu, ada di rak yang mana ya?;Tolong tolongin aku cariin buku itu, ada di rak yang mana ya?
Maafkan aku klau sering buatmu kesel, ituu gak sengaja.;Maafkan aku kalau sering buatmu kesel, itu gak sengaja.
Sebaiknya tgl 17 kita janjian ketmuan ya, biar ga ribet ntar.;Sebaiknya tanggal 17 kita janjian ketemu ya, biar ga ribet nanti.
Aku suka maen gitar, kmrn beli gitar yg kualitasnya bagus.;Aku suka main gitar, kemarin beli gitar yang kualitasnya bagus.
Mobil itu termasuk mewahh ya, harganya pasti mahal.;Mobil itu termasuk mewah ya, harganya pasti mahal.
Jd ceritanya aku barusan ketemu sm mantan, kyk biasa aja sih.;Jadi ceritanya aku barusan ketemu sama mantan, kayak biasa aja sih.
Coba km liat tuh anak kecil lg berantem sm ibunya, lucu bngt.;Coba kamu liat tuh anak kecil lagi berantem sama ibunya, lucu banget.
Ini jln pintas yg akan membawamu ke tujuan lebih cpt.;Ini jalan pintas yang akan membawamu ke tujuan lebih cepat.
Ga bs dipungkiri, muka kamu itu mirip artis terkenal lho!;Gak bisa dipungkiri, muka kamu itu mirip artis terkenal lho!
Sya sedang belajr di unversitas.;Saya sedang belajar di universitas.
Aku skali ini ingin makan pizza.;Aku sekali ini ingin makan pizza.
Mereka seringkli bermain gamse bersama.;Mereka seringkali bermain game bersama.
Kminggu ini cuaca sangat cerh.;Keminggu ini cuaca sangat cerah.
Ayah membelikan ku handphon anyar.;Ayah membelikanku handphone anyar.
Liburnya sdang dekat, aku ingin berlibur ke pantai.;Liburannya sudah dekat, aku ingin berlibur ke pantai.
Dikarenakan kemarin hujan, banyak jlan berlubang.;Dikarenakan kemarin hujan, banyak jalan berlubang.
Sopir taksi tersebut berkata klo arah tujuan salah.;Sopir taksi tersebut berkata kalau arah tujuan salah.
Kucing kesayanganku sering kali mengejutkanku.;Kucing kesayanganku sering kali mengejutkanku.
Kmu tahu ga, tadi aku blanja bju di mall.;Kamu tahu ga, tadi aku belanja baju di mall.
Di sana ada byk tmpt wisata yg menarik.;Di sana ada banyak tempat wisata yang menarik.
Waktu itu aku kesambat di jalan raya.;Waktu itu aku kesambitan di jalan raya.
Mereka brdua tadi kesini membawa brg bnyak.;Mereka berdua tadi kesini membawa barang banyak.
Tiap pagi aku olahraja di tman kota.;Tiap pagi aku olahraga di taman kota.
Sblmnya aku ucapkan selamat datng pda teman2 baru.;Sebelumnya aku ucapkan selamat datang pada teman-teman baru.
Selama ini ia selalu mendukungku dlm stiap ujian.;Selama ini dia selalu mendukungku dalam setiap ujian.
Jgn sering sering main game, itu tdk baik.;Jangan sering-sering main game, itu tidak baik.
Adik perempuanku sering memintakn dukunganku.;Adik perempuanku sering memintakkan dukunganku.
Aku dan temanku brtualng membersihkan pantai ini.;Aku dan temanku bahu membahu membersihkan pantai ini.
Keputusannya tadi trlihat branian dan cerdas.;Keputusannya tadi terlihat cerdik dan cerdas.
aq sedang blajr bahasa isyarat;Aku sedang belajar bahasa isyarat.
saya kesulitan mngartikan gerakannya;Saya kesulitan mengartikan gerakannya.
ingin tahu apa artinya tanda itu;Ingin tahu apa artinya tanda itu.
kesana kemari untuk mncari buku ttg bahasa isyarat;Kesana kemari untuk mencari buku tentang bahasa isyarat.
adik saya jg mau blajr komunikasi dgn bahasa isyarat;Adik saya juga mau belajar komunikasi dengan bahasa isyarat.
kadang suka bngung harus bgmn cara ngungkapin prasaan ini;Kadang suka bingung harus bagaimana cara mengungkapkan perasaan ini.
plajar bahasa isyarat itu menyenangkan tp tdk mudah;Belajar bahasa isyarat itu menyenangkan tapi tidak mudah.
hri ini sya ketemu teman yg jago bahasa isyarat;Hari ini saya ketemu teman yang jago bahasa isyarat.
aku blm bisa ngomong pakai tangan tp aku berusaha;Aku belum bisa ngomong pakai tangan tapi aku berusaha.
sering lihat video ttg bahasa isyarat di internet;Sering lihat video tentang bahasa isyarat di internet.
teman sekelas saya jg ada yg ikut les bahasa isyarat;Teman sekelas saya juga ada yang ikut les bahasa isyarat.
tadi sore aq brdiskusi sm guru ttg bahasa isyarat;Tadi sore aku berdiskusi sama guru tentang bahasa isyarat.
blajar bahasa isyarat perlu konsisten dan latihan rutin;Belajar bahasa isyarat perlu konsisten dan latihan rutin.
kmpulan buku bahasa isyarat di perpus masih terbatas;Kumpulan buku bahasa isyarat di perpustakaan masih terbatas.
ingin suatu hri nnti bs jadi trampil bahasa isyarat;Ingin suatu hari nanti bisa jadi trampil bahasa isyarat.
acara tv ttg bahasa isyarat sering menginspirasi;Acara TV tentang bahasa isyarat sering menginspirasi.
aq msh harus bljr byk utk menguasai bahasa isyarat;Aku masih harus belajar banyak untuk menguasai bahasa isyarat.
suka bngt dnger musik dn mempraktekkan bahasa isyarat;Suka banget denger musik dan mempraktekkan bahasa isyarat.
skrg aq paham sedikit ttg tata bahasa isyarat;Sekarang aku paham sedikit tentang tata bahasa isyarat.
msh hrs brlatih byk lg biar gerakan tgn tdk kaku;Masih harus berlatih banyak lagi biar gerakan tangan tidak kaku.
Baik saya sore pergi ke toko ingin ke.;Baik, sore ini saya pergi ke toko ingin ke sana.
Makanan enak tadi sangat sekali itu.;Makanan enak tadi sangat sekali itu.
Teman saya kemaren ke rumah datang.;Teman saya kemarin ke rumah datang.
Buku di saya pinjam sudah kembali.;Buku yang saya pinjam sudah kembali.
Cepat dimana pergi harus kita?;Cepat, ke mana pergi harus kita?
Kamu ke sekolah pergi harus pagi-pagi.;Kamu ke sekolah pergi harus pagi-pagi.
Saya buah makanan suka sehat.;Saya suka makanan sehat.
Malam jalan keluar tidak bisa saya.;Malam ini keluar tidak bisa saya.
Aku lihat menarik tempat itu terlihat sangat.;Tempat itu terlihat sangat menarik.
Besok datang akan teman saya.;Besok teman saya akan datang.
Dia ke mana pergi tadi tidak tahu.;Dia ke mana pergi tadi tidak tahu.
Mengapa bingung kamu terlihat?;Mengapa kamu terlihat bingung?
Membantu kamu dengan senang hati akan saya.;Saya akan membantu kamu dengan senang hati.
Bola bermain saya suka.;Saya suka bermain bola.
Ibu ke pasar pergi kemarin.;Ibu pergi ke pasar kemarin.
Saya film menonton suka.;Saya suka menonton film.
Anjing dengan bermain senang hati akan dia.;Anjing bermain dengan senang hati akan dia.
Pergi mau kemana kamu tadi?;Kamu mau ke mana tadi pergi?
Membaca buku suka saya.;Saya suka membaca buku.
Dia tadi ke mana pergi?;Dia tadi ke mana pergi?
Saya suka buhah apel dsn pisanh.;Saya suka buah apel dan pisang.
Bismillah semga hari ini brjalan lancar.;Bismillah semoga hari ini berjalan lancar.
Prdiksi cugx banar, kita bakalan mnang.;Prediksi cukup benar, kita bakalan menang.
Sya akan pegrjaan rumah hari ini.;Aku akan pekerjaan rumah hari ini.
Video trsebut bgus dan mnarik perhatian.;Video tersebut bagus dan menarik perhatian.
Mrk brdua tlah tiba di ktak tersebut.;Mereka berdua telah tiba di tempat tersebut.
Cmbuk dan prasaan ini slalu hadir brsama.;Cemburu dan perasaan ini selalu hadir bersama.
Kmrin sya bertemu dgan tmpat ini.;Kemarin saya bertemu dengan tempat ini.
Ktika mlm trlihat bjuk yg mncurigakn.;Ketika malam terlihat benda yang mencurigakan.
Mreka brlimpah pujian krena prbuatannya.;Mereka berlimpah pujian karena perbuatannya.
Hwan itu sllu mnjilat jri nya.;Hewan itu selalu menjilat jarinya.
Krjaan ini mnyebabkan byak stres.;Kerjaan ini menyebabkan banyak stres.
Hri ini mreka brmain di tmpt trsebut.;Hari ini mereka bermain di tempat tersebut.
Waktu itu sya tdk dpat hadir.;Waktu itu saya tidak dapat hadir.
Byk sekali mslahan yg mnimpa sya.;Banyak sekali masalah yang menimpa saya.
Mereka trlihat sngat bhsaan sekali.;Mereka terlihat sangat bersemangat sekali.
Kncing mnjauh jauh dari tmpat mnda.;Kucing menjauh-jauh dari tempat mandi.
Pmimpin trsebut mngambil keputusan yg tdk baik.;Pimpinan tersebut mengambil keputusan yang tidak baik.
Tdak sengaja sya mnemukan bnda ini.;Tidak sengaja saya menemukan benda ini.
Kncing itu jatuh dan mnimpa kaki ku.;Kucing itu jatuh dan menimpa kaki ku.
Sata mau mkn nasigoreng di warteg itu.;Saya mau makan nasi goreng di warung tegal itu.
Nanti malam kt jumpa di rmh sakit ya.;Nanti malam kita jumpa di rumah sakit ya.
Ayok beli barang di malam hari.;Ayok beli barang di malam hari.
Adikku maw belajar nyetir mobil.;Adikku mau belajar nyetir mobil.
Baju klian kmren kmren kmna?;Baju kalian kemarin kemana?
Aku suka skaatboarding dan berenang.;Aku suka skateboarding dan berenang.
Bsrnagat bekerja adalah kunci sukses.;Bersungguh-sungguh bekerja adalah kunci sukses.
Siapa nmor hp kliam?;Siapa nomor hp kalian?
Saya peergi kepasar belanja sayur.;Saya pergi ke pasar belanja sayur.
Ayo rwndezvous di tmpt ini.;Ayo rendezvous di tempat ini.
Klian skrang berada dmn?;Kalian sekarang berada di mana?
Wktu tlh tibaa.;Waktu telah tiba.
Syg, q tdk bisikn ini.;Sayang, aku tidak bisa ikut ini.
Nnti aq jemput km di tmpt biasa.;Nanti aku jemput kamu di tempat biasa.
Mna tmpat mkn yg kmrn aq tmnkn?;Mana tempat makan yang kemarin aku tunjukkan?
Maw tdk maw km hrs blajar jga.;Mau tidak mau kamu harus belajar juga.
Skrg wktu tlah mnggnti.;Sekarang waktu telah berganti.
Mga mna tdi kmrn kta jmput tdk trlmbat.;Mungkin tadi kemarin kita jemput tidak terlambat.
Bju barunya bgus skali.;Baju barunya bagus sekali.
Nti ktmu d tempat yg aman ya.;Nanti ketemu di tempat yang aman ya.
Saya suka makan dan mnum.;Saya suka makan dan minum.
Anak itu suka maikan baket.;Anak itu suka mainkan basket.
Tolong bantuan saaya, sayaa takut gelap.;Tolong bantuan saya, saya takut gelap.
Aku ingin pergi liburan kesungai.;Aku ingin pergi liburan ke sungai.
Hri ini cuaca sangat cerah dan enak.;Hari ini cuaca sangat cerah dan enak.
Mngapa kamu tdk mau bicara denganku?;Mengapa kamu tidak mau bicara denganku?
Ayah sedang pergi keluar kerja hari ini.;Ayah sedang pergi keluar kerja hari ini.
Kkakakku sngat pintar dan jenius.;Kakakku sangat pintar dan jenius.
Aku mkan seblm brmain diluar.;Aku makan sebelum bermain di luar.
Mereka akan prgi ke taman besok.;Mereka akan pergi ke taman besok.
Ibuku brblanja ke pasar trdekat.;Ibuku berbelanja ke pasar terdekat.
Kucing itu lucu sekali dan menggemaskan.;Kucing itu lucu sekali dan menggemaskan.
Sdiri di kamar sambil mnonton tv.;Sendirian di kamar sambil menonton tv.
Kkmu mnungguku di depan sekolah.;Kamu menungguku di depan sekolah.
Acara itu benar2 mnrik perhatian.;Acara itu benar-benar menarik perhatian.
Sore ini aku plajar bhs inggris.;Sore ini aku belajar bahasa Inggris.
Paman bekerja sbgai soplai pesawat.;Paman bekerja sebagai sopir pesawat.
Saya ingin bku untuk ulang tahunku.;Saya ingin buku untuk ulang tahunku.
Mereka tdk tahu arah yang mnarik.;Mereka tidak tahu arah yang menarik.
Aku suka hujan, brmain dluar dlm guyuran hujan.;Aku suka hujan, bermain di luar dalam guyuran hujan.
Saya mint akn dinding ini, warnanya cantik.;Saya minta akan dinding ini, warnanya cantik.
Olh krn pdrman, saya ingin brlibur.;Oleh karena peradaban, saya ingin berlibur.
Peka mainan di bwh tempat tdr.;Peka mainan di bawah tempat tidur.
Mknan sdh siap, mari mkn.;Makanan sudah siap, mari makan.
Sya suka mknan yg pedas.;Saya suka makanan yang pedas.
Mlm ini sya ingin nntn film yg mnarik.;Malam ini saya ingin nonton film yang menarik.
Hri ini cuaca sngat pnas, mmakai kipas angin brmanfaat.;Hari ini cuaca sangat panas, menggunakan kipas angin bermanfaat.
Kucing sya lucu, dia sku sering tdr.;Kucing saya lucu, dia suka sering tidur.
Sya mlht iklan hnda di tv, ingin mmbli mobil.;Saya melihat iklan Honda di TV, ingin membeli mobil.
Tnggal brapa hri lg, kita akan brikumpul.;Tinggal berapa hari lagi, kita akan berkumpul.
Ayah sya seorang dosen, dia pngajar fisika.;Ayah saya seorang dosen, dia pengajar fisika.
Saya pnh pngn bljar bnyak bh, tpi tdk punya wktu.;Saya pernah ingin belajar banyak hal, tapi tidak punya waktu.
D brkali-kali sya tlh mnti untuk smpt ke sni.;Dalam berulang-ulang saya telah minta untuk sampai ke sini.
Krja keras adlh kunci ktgjuan.;Kerja keras adalah kunci keberhasilan.
Skolah ini mmpunyai fsiitas yg lengkap.;Sekolah ini memiliki fasilitas yang lengkap.
Ktika mlm hari, sya trkadng merasa sndiri.;Ketika malam hari, saya terkadang merasa sendiri.
Tlpon ini trasa brat sekali, adakah yg bs membantuku?;Telepon ini terasa berat sekali, adakah yang bisa membantuku?
Krjanya bgitu rpya, hrs diprsiapkan dgn matang.;Kerjanya begitu repot, harus dipersiapkan dengan matang.
Sblm tdr, saya sngat senang mmbaca buku.;Sebelum tidur, saya sangat senang membaca buku.
Bntuk yg brbeda dr kmi smua, dia adalah pemimpi.;Bentuk yang berbeda dari kita semua, dia adalah pemimpi.
Saya bela jar mengetik di komputar.;Saya belajar mengetik di komputer.
Ayok kita kesana dlu.;Ayok kita kesana dulu.
Pesenan saya nasi goreg, sambal ikan beles.;Pesan saya nasi goreng, sambal ikan belis.
Itu kamu punya, ini mne.;Itu kamu punya, ini milikku.
Aku kedinginan, bisa tolong baikan jaketku?;Aku kedinginan, bisa tolong baikin jaketku?
Bgaimana kabar kamu semoga baik baik saja.;Bagaimana kabar kamu, semoga baik-baik saja.
Bentar lagi jum'at.;Bentar lagi Jumat.
Lagi apa? Lagi nontn tv.;Lagi apa? Lagi nonton TV.
Ga usah repot-repot, nanti aku jemput aja.;Ga usah repot-repot, nanti aku jemput saja.
Ayo siap-siap brangkat.;Ayo siap-siap berangkat.
Kamu tau ga, tdi pas di jalan ada kecelakaan.;Kamu tahu ga, tadi pas di jalan ada kecelakaan.
Semoga kamu cpt sembuh.;Semoga kamu cepat sembuh.
Sudah makan blom? Blom nih, lagi diet soalnya.;Sudah makan belum? Belum nih, lagi diet soalnya.
Gak usah buru-buru, masih ada waktu.;Gak usah buru-buru, masih ada waktu.
Ada yg tau dimana tmpt ini?;Ada yang tahu dimana tempat ini?
Ditinggal kantor tmnku bbrapa hr yg lalu.;Ditinggal kantor temanku beberapa hari yang lalu.
Baju itu warnanya biru ya? Iya, bener.;Baju itu warnanya biru ya? Iya, benar.
Aku juga mau ikut.;Aku juga mau ikut.
Seriusan? Iya bneran.;Seriusan? Iya beneran.
Nanti malam ada acara apa ga?;Nanti malam ada acara apa ga?
Suatu hari aku pengen pergi kemari minta tolong cariin makanan.;Suatu hari aku ingin pergi kemari minta tolong cari makanan.
Adikku suka banget belajar tapi belum bisa baca huruf abjad semua.;Adikku suka banget belajar tapi belum bisa baca huruf abjad semua.
Tolong aku diingetin kalau besok ada rapat penting jam 9 pagi.;Tolong aku diingatkan kalau besok ada rapat penting jam 9 pagi.
Aku suka masak sayur dan ikan pakai bumbu spesial dari ibuku.;Aku suka masak sayur dan ikan pakai bumbu spesial dari ibuku.
Aku pengen beli baju baru tapi uangku cuma cukup buat makan.;Aku ingin beli baju baru tapi uangku cuma cukup buat makan.
Di taman itu ada banyak bunga yang indahnya mekar setiap hari.;Di taman itu ada banyak bunga yang indahnya mekar setiap hari.
Kemarin aku bertemu teman lama di kampus yang sekarang jadi dosen.;Kemarin aku bertemu teman lama di kampus yang sekarang jadi dosen.
Besok mau ada acara keluarga besar, jadi mesti bantu-bantu persiapan.;Besok mau ada acara keluarga besar, jadi harus bantu persiapan.
Aku ingin punya anjing peliharaan yang setia menemani di rumah.;Aku ingin punya anjing peliharaan yang setia menemani di rumah.
Aku senang belajar musik dan bermain gitar di waktu senggang.;Aku senang belajar musik dan bermain gitar di waktu senggang.
Kadang aku bingung harus makan apa karena takut bikin badan tambah gendut.;Kadang aku bingung harus makan apa karena takut bikin badan tambah gendut.
Pulang sekolah biasanya aku langsung nonton film kesukaan di TV.;Pulang sekolah biasanya aku langsung nonton film kesukaan di TV.
Ibu selalu bilang jangan main-main di jalan karena berbahaya.;Ibu selalu bilang jangan main-main di jalan karena berbahaya.
Ayahku bekerja sebagai seorang pilot dan sering terbang ke luar negeri.;Ayahku bekerja sebagai seorang pilot dan sering terbang ke luar negeri.
Aku suka naik gunung bersama teman-teman untuk menikmati pemandangan.;Aku suka naik gunung bersama teman-teman untuk menikmati pemandangan.
Tadi pagi aku pergi ke pasar beli buah-buahan segar untuk keluarga.;Tadi pagi aku pergi ke pasar beli buah-buahan segar untuk keluarga.
Hewan kesayanganku adalah kucing, karena lucu dan menggemaskan.;Hewan kesayanganku adalah kucing, karena lucu dan menggemaskan.
Aku ingin berlibur ke pantai dan menikmati suasana laut yang tenang.;Aku ingin berlibur ke pantai dan menikmati suasana laut yang tenang.
Sudah lama tidak bertemu sahabat dekat, rindu ingin segera ketemu.;Sudah lama tidak bertemu sahabat dekat, rindu ingin segera bertemu.
Cuaca hari ini terik sekali, lebih baik minum air putih banyak-banyak.;Cuaca hari ini terik sekali, lebih baik minum air putih banyak-banyak.
Skoal saya sdeang baek-baek saja.;Skor saya sedang baik-baik saja.
Hri ini suana begitu cerhah.;Hari ini suasana begitu cerah.
Mrenagnai sepatu baru ini sangat nyamna.;Memakai sepatu baru ini sangat nyaman.
Kamu mau kemaana setelah ini?;Kamu mau ke mana setelah ini?
Aku sdang membca buku ttang pnerbitan.;Aku sedang membaca buku tentang penerbitan.
Tlng tangan saya mengigatkan pelkajaran.;Tolong tangan saya mengingatkan pelajaran.
Gajiya sdang pergi berblanja di pasar.;Gajiya sedang pergi berbelanja di pasar.
Ayah saya lgi tdk di rmah skarang.;Ayah saya lagi tidak di rumah sekarang.
Siapa namamu? Aku lupa.;Siapa namamu? Aku lupa.
Mngapa kucing itu tiba-tiba brlari?;Mengapa kucing itu tiba-tiba berlari?
Ak mngunjungi tmpat trsebut tadi hri.;Aku mengunjungi tempat tersebut tadi hari.
Ada byk mkanan di dlm kulkas.;Ada banyak makanan di dalam kulkas.
Minum kopi sblum tidur tdk baik.;Minum kopi sebelum tidur tidak baik.
