text;labels
sayamelukisgambargunakanvibrandigitizer;Saya melukis gambar menggunakan vibrand digitizer.
kamuistirahatdiwarnakamarmandiku;Kamu istirahat di warna kamar mandi ku.
akumakanmiedengantelurayamyangrebus;Aku makan mie dengan telur ayam yang rebus.
kamubermaingitarberbariskeren;Kamu bermain gitar berbaris keren.
sayadudukdiatasbangkudikantorku;Saya duduk di atas bangku di kantor ku.
kamuadalahpemainsepakbolayanghebat;Kamu adalah pemain sepak bola yang hebat.
akumelakukanolahragadijalanterbuka;Aku melakukan olahraga di jalan terbuka.
sayasukaistirahatdirumahsambilmembaca;Saya suka istirahat di rumah sambil membaca.
kamumenulisceritayangmenarikuntukkontes;Kamu menulis cerita yang menarik untuk kontes.
sayaberlatihbeladiriuntukkesehatantubuh;Saya berlatih beladiri untuk kesehatan tubuh.
kamumemancingikanterbanjadisungai;Kamu memancing ikan terbang di sungai.
sayamenyukaidansenahliindonesia;Saya menyukai tari dan seni di Indonesia.
akuberbicaradenganorangasingdiacara;Aku berbicara dengan orang asing di acara.
kamumenyanyikandanmenarikesenianak;Kamu menyanyikan dan menariki seni anak.
sayalangsungbelajarmengendalikankendaraanrodaempat;Saya langsung belajar mengendalikan kendaraan roda empat.
kamumelakukanperawatankucingpeliharaandengancintahati;Kamu melakukan perawatan kucing peliharaan dengan cinta hati.
akutidurmalamdengankucingpeliharaanyangmanis;Aku tidur malam dengan kucing peliharaan yang manis.
andamembacabukudongengdalamwaktuyangsama;Anda membaca buku dongeng dalam waktu yang sama.
sayasukaolahragahikingsaatminggulalu;Saya suka olahraga hiking saat minggu lalu.
kamumenyukaimasakandanmencobaresepyangbaru;Kamu menyukai masakan dan mencoba resep yang baru.
akumenontonfilmhororyangseramsepertipenyihir;Aku menonton film horor yang seram seperti penyihir.
sayaberbelanjadiwarungterdekatuntukmakanmalam;Saya berbelanja di warung terdekat untuk makan malam.
kamumengunjungitempattamasyangindahdiakhirpekan;Kamu mengunjungi tempat tamasya yang indah di akhir pekan.
sayamengajaktemanuntukmenghadiriperayaanulangtahun;Saya mengajak teman untuk menghadiri perayaan ulang tahun.
akubertemuorangasingyangberbicaradenganku;Aku bertemu orang asing yang berbicara denganku.
kamumemotretpemandangandaritingkatatasgedung;Kamu memotret pemandangan dari tingkat atas gedung.
sayasukasekolahyangterletakdihantarterpencil;Saya suka sekolah yang terletak di hantaran terpencil.
kamudatangkeacaramenggunakanpakaianadatradisional;Kamu datang ke acara menggunakan pakaian adat tradisional.
sayahobimenjahitdenganketerampilantinggi;Saya hobi menjahit dengan keterampilan tinggi.
kamumakanmakanansiapdihalamanbelakang;Kamu makan makanan siap di halaman belakang.
sayamenulisdongengpendekdengankatayangsederhana;Saya menulis dongeng pendek dengan kata yang sederhana.
akumemandangbintangdimalamhariyangcerah;Aku melihat bintang di malam hari yang cerah.
kamumengikutfashionshowyangspektakulertadi;Kamu mengikuti fashion show yang spektakuler tadi.
sayamemberikanhadiahultahyangistimewakepadanya;Saya memberikan hadiah ulang tahun yang istimewa kepadanya.
sayamembacabukudengankatakatayangsulitdimengerti;Saya membaca buku dengan kata-kata yang sulit dimengerti.
kamumelakukanperjalananliburankepantaidengansekapalkayu;Kamu melakukan perjalanan liburan ke pantai dengan sekapal kayu.
akuberbicaradengankakakperempuanyangpintardalammatematika;Aku berbicara dengan kakak perempuan yang pintar dalam matematika.
andaberpakaiangandengandandandandandanjerseytimsepakbolafavorit;Anda berpakaian dengan jersey tim sepak bola favorit.
sayaberlarijamankahuludihutanrimbayang;Saya berlari jaman kahulu di hutan rimba yang.
kamumenyanyikandengansuarayangmerdumelodikanmelodiuksah;Kamu menyanyikan dengan suara yang merdu melodi ukulele.
akumenghabiskanwaktulamauntukmembacabukudongeng;Aku menghabiskan waktu lama untuk membaca buku dongeng.
sayalangsungbelajarberenangdilautberombakbesar;Saya langsung belajar berenang di laut berombak besar.
kamuberpakaiandandantaliuntukmendakipegunungantinggi;Kamu berpakaian dan tali untuk mendaki pegunungan tinggi.
sayabermainperansebagaiaktrisdalamteatersekolah;Saya bermain peran sebagai aktris dalam teater sekolah.
andamembuatkerajinanmanik-manikdenganketerampilanahliku;Anda membuat kerajinan manik-manik dengan keterampilan ahli ku.
akumenyukaidansenayangmenampilkankeindahanbudaya;Aku menyukai tari yang menampilkan keindahan budaya.
kamumendengarkandendangpopkesukaanmu;Kamu mendengarkan dendang pop kesukaanmu.
sayaberlatihbeladiridalamsekolahseni;Saya berlatih beladiri di dalam sekolah seni.
kamumemotretpemandanganalamdengankameraseluler;Kamu memotret pemandangan alam dengan kamera seluler.
sayasukaberceritadalamcerpapendek;Saya suka bercerita dalam cerpen pendek.
kamubertemudenganteman-temandiwaktumalampengembaraan;Kamu bertemu dengan teman-teman di waktu malam pengembaraan.
akumenghadirikepestaulangtahundengandresskodeputih;Aku menghadiri pesta ulang tahun dengan dress kode putih.
sayasukamakanseblakpedasdanenakdiwarungterdekat;Saya suka makan seblak pedas dan enak di warung terdekat.
kamumenikmatiwaktusantaidirumahdenganteman-teman;Kamu menikmati waktu santai di rumah dengan teman-teman.
sayasukabermainsepakboladengansemangatyangtinggi;Saya suka bermain sepak bola dengan semangat yang tinggi.
kamuberbicaradengantemankaribtentangkehidupan;Kamu berbicara dengan teman karib tentang kehidupan.
akumenyanyikandenganmerdumengiringigitarakustik;Aku menyanyikan dengan merdu mengiringi gitar akustik.
andaberjalan-jalandilapanganrumputyangluas;Anda berjalan-jalan di lapangan rumput yang luas.
sayamenghiasrumahdengandekorasiramahtangga;Saya menghias rumah dengan dekorasi ramah tangga.
kamumenyusunrakbukuyangtersusunrapi;Kamu menyusun rak buku yang tersusun rapi.
akumembacabukucerdasdenganbanyakpelajaran;Aku membaca buku cerdas dengan banyak pelajaran.
sayamendengarkankonsermusikrockyangmenggelegar;Saya mendengarkan konser musik rock yang menggelegar.
kamubermainperansetanpatemanteman;Kamu bermain peran sendirian tanpa teman-teman.
sayamenggunakankosmetikdengankualitasterbaik;Saya menggunakan kosmetik dengan kualitas terbaik.
andamembelipakaiandalampromoakhirpekan;Anda membeli pakaian anda dalam promo akhir pekan.
akumelihatlayanganterbangtinggidiangkasa;Aku melihat layangan terbang tinggi di angkasa.
kamumenyapudalamkamaruntukberistirahat;Kamu menyiapu dalam kamar untuk beristirahat.
sayamenyanyikanlagupopulerdengansuaraemerdu;Saya menyanyikan lagu populer dengan suara merdu.
kamumemotretpemandanganindahdengankamera;Kamu memotret pemandangan indah dengan kamera.
sayahobimenggambarlukisandalambakudarah;Saya hobi menggambar lukisan dalam bak udara.
kamumemberikanhadiahterbaikpadaorangtua;Kamu memberikan hadiah terbaik pada orang tua.
akumakanmalamdikarenakanjadwalkerusuhyangpadat;Aku makan malam dikarenakan jadwal kerja yang padat.
sayabertemanbaikdenganhewanpeliharaansayayanglucu;Saya berteman baik dengan hewan peliharaan saya yang lucu.
kamumendapatkannotifikasiemailbaru;Kamu mendapatkan notifikasi email baru.
sayaberbicarakeringtentangperjalananhidup;Saya berbicara ringan tentang perjalanan hidup.
kamumelompat-lompatdengansemangatdidalamtaman;Kamu melompat-lompat dengan semangat di dalam taman.
akumenyanyikankaraokebersamaorangtua;Aku menyanyikan karaoke bersama orang tua.
andaberteduhdisebuahbangkuyangnyaman;Anda berteduh di sebuah bangku yang nyaman.
sayamembeli-belibuahdengankualitasterbaik;Saya membeli-beli buah dengan kualitas terbaik.
kamumenyusundirektorialamsebuahperusahaan;Kamu menyusun direktori dalam sebuah perusahaan.
akumembacabukucerdasdenganbanyakpengetahuan;Aku membaca buku cerdas dengan banyak pengetahuan.
sayamendengarkanmusikdenganvolumeyangtinggi;Saya mendengarkan musik dengan volume yang tinggi.
kamubermainperanseoranganakandiantaman;Kamu bermain peran seorang anak di taman.
sayamenggunakanponseltangguhdenganfiturcanggih;Saya menggunakan ponsel tangguh dengan fitur canggih.
andamembelipakaiandalampromoakhirbulan;Anda membeli pakaian Anda dalam promo akhir bulan.
akumelihatburunghantuadilokasidalamhutan;Aku melihat burung hantu di lokasi dalam hutan.
kamumenyiapumakananenakuntukkakakperempuanmu;Kamu menyiapu makanan enak untuk kakak perempuanmu.
sayamenyanyikankonserlagudenganantusiasme;Saya menyanyikan konser lagu dengan antusiasme.
kamumemotretpemandanganindahdengankamerahandphone;Kamu memotret pemandangan indah dengan kamera handphone.
sayahobimenuliscerpapendekdenganimajinasi;Saya hobi menulis cerpen pendek dengan imajinasi.
kamumemberikanhadiahmenarikkepadateman;Kamu memberikan hadiah menarik kepada teman.
akumakanmalamdisebuahrestoranmewah;Aku makan malam di sebuah restoran mewah.
sayabertemanbaikdenganhewanyangmanis;Saya berteman baik dengan hewan yang manis.
kamumendapatkannotifikasipanggilanterbaru;Kamu mendapatkan notifikasi panggilan terbaru.
sayaberjalanjalankepasaruntukbelanjamakanan;Saya berjalan-jalan ke pasar untuk belanja makanan.
kamuberbicaradengankawandenganpenuhperhatian;Kamu berbicara dengan kawan dengan penuh perhatian.
akumendengarkanmusikdalamperjalanandirumah;Aku mendengarkan musik dalam perjalanan di rumah.
andaberlari-larimenyatupetandibidaksembunyi;Anda berlari-lari menyatupetan di bidaksembunyi.
sayamenggambarlukisanindahdengankanvasbesar;Saya menggambar lukisan indah dengan kanvas besar.
kamumembacabukuceritadenganketertarikan;Kamu membaca buku cerita dengan ketertarikan.
akumenyanyikandenganmerdusaatkaraokebersama;Aku menyanyikan dengan merdu saat karaoke bersama.
sayamendengarkansuaraburungdalamhutanrimba;Saya mendengarkan suara burung dalam hutan rimba.
kamubermainperansetanpadadramatelevisi;Kamu bermain peran setan pada drama televisi.
sayamenggunakankosmetikdenganhasilterbaik;Saya menggunakan kosmetik dengan hasil terbaik.
andamembelipakaiandenganpotonganharga;Anda membeli pakaian dengan potongan harga.
akumelihatlangitmalamdengantampakanindah;Aku melihat langit malam dengan tampakan indah.
kamumenyapudalamkamardemimenjagakebersihan;Kamu menyiapu dalam kamar demi menjaga kebersihan.
sayamenyanyikanlagupopulerdengansuaramerdu;Saya menyanyikan lagu populer dengan suara merdu.
kamumemotretmomentindahdengankamerahandphone;Kamu memotret momen indah dengan kamera handphone.
sayahobimenggambarlukisandenganminatbesar;Saya hobi menggambar lukisan dengan minat besar.
kamumemberikanhadiahspesialkepadasaudaraperempuanmu;Kamu memberikan hadiah spesial kepada saudara perempuanmu.
akumakanmalamdalamrestoranyangmewah;Aku makan malam dalam restoran yang mewah.
sayabertemanbaikdengankucingpeliharaanku;Saya berteman baik dengan kucing peliharaanku.
kamumendapatkannotifikasipelangganyangterbaru;Kamu mendapatkan notifikasi pelanggan yang terbaru.
sayaberjalanpagisoremenjelajahgunung;Saya berjalan pagi-sore menjelajah gunung.
kamumembacabukudalamwaktuluang;Kamu membaca buku dalam waktu luang.
akumendengarkanmusikdengannadaalam;Aku mendengarkan musik dengan nada dalam.
andabermainlayanganpadapantai;Anda bermain layangan pada pantai.
sayamenggambarlukisanindahdengancatairam;Saya menggambar lukisan indah dengan cat air am.
kamubertemanbaikdengansekolahsekolah;Kamu berteman baik dengan sekolah-sekolah.
akumenyanyikandengansuarabesar;Aku menyanyikan dengan suara besar.
sayamendengarkanmusikdalamperjalananrumah;Saya mendengarkan musik dalam perjalanan rumah.
kamubermainperanpenyihirdalamteater;Kamu bermain peran penyihir dalam teater.
sayamenggunakankosmetikdenganhasilbagus;Saya menggunakan kosmetik dengan hasil bagus.
andamembelipakaiandalambelanjamurah;Anda membeli pakaian dalam belanja murah.
akumelihatmataharitebenamdiataslaut;Aku melihat matahari tebenam di atas laut.
kamumenyapudirumahagarbersih;Kamu menyiapu di rumah agar bersih.
sayamenyanyikanlaguindahdengansuaramanis;Saya menyanyikan lagu indah dengan suara manis.
kamumemotretmomentindahdenganhandphone;Kamu memotret momen indah dengan handphone.
sayahobimenyanyikanlagudenganbahagia;Saya hobi menyanyikan lagu dengan bahagia.
kamumemberikanhadiahspesialkepadateman;Kamu memberikan hadiah spesial kepada teman.
akumakanmalamdirestoranyangmewah;Aku makan malam di restoran yang mewah.
sayabertemanbaikdengankucingpeliharaan;Saya berteman baik dengan kucing peliharaan.
kamumendapatkannotifikasipentingdariteman;Kamu mendapatkan notifikasi penting dari teman.
sayapergikepasarkemaribeliikanbahanmakanan;Saya pergi ke pasar kemarin membeliikan bahan makanan.
kamulaparmenemukanbukuyangkamucaharibacatapienggansekarang;Kamu baru saja menemukan buku yang kamu cari hari ini tapi enggan membacanya sekarang.
akumakanpagimakandansorekulinerterkenaldiarea;Aku makan pagi, makan siang, dan makan sore kuliner terkenal di area.
andaberjalanjalanakandibebasmelihatindahnyapemandangan;Anda berjalan-jalan sambil bebas melihat indahnya pemandangan.
sayasukamenggambarlukisanpemandanganalammenggunakanteknikcatair;Saya suka menggambar lukisan pemandangan alam menggunakan teknik cat air.
kamumembacabukuceritaserudenganceritayangmenghibur;Kamu membaca buku cerita seru dengan cerita yang menghibur.
akumenyanyikandengansuaramerdukesuaramenarikperhatian;Aku menyanyikan dengan suara merdu kesusahan menarik perhatian.
sayamendengarkanmusiklagubaratindahsuaramusikinstrumental;Saya mendengarkan musik lagu barat indah suara musik instrumental.
kamubermainperanakudalamfilmterkenaldiindonesia;Kamu bermain peran aku dalam film terkenal di Indonesia.
sayamenggunakankosmetikprodukterbarudengankualitasbaik;Saya menggunakan kosmetik produk terbaru dengan kualitas baik.
sayapergikepantaiuntukberenangdanberjemurdimataspasir;Saya pergi ke pantai untuk berenang dan berjemur di atas pasir.
kamumencobakulinerterkenaldiareaibukotaini;Kamu mencoba kuliner terkenal di area ibukota ini.
akumembelikanhadiahulangtahununtuktemankaribku;Aku membelikan hadiah ulang tahun untuk teman karibku.
andamelihatfilmserudirumahdengankeluarga;Anda melihat film seru di rumah dengan keluarga.
sayamenggambarlukisanindahdenganpensilwarna;Saya menggambar lukisan indah dengan pensil warna.
kamubertemanbaikdengansekolahsekolahdiarea;Kamu berteman baik dengan sekolah-sekolah di area.
akumenyanyikandengansuaraemasdiataspentas;Aku menyanyikan dengan suara emas di atas pentas.
sayamendengarkanmusikfavoritdiwaktuluang;Saya mendengarkan musik favorit di waktu luang.
kamubermainperanpahlawanfilmterkenal;Kamu bermain peran pahlawan film terkenal.
sayamenggunakankosmetikdenganhasilbagus;Saya menggunakan kosmetik dengan hasil bagus.
andamembelipakaiandalambelanjamurah;Anda membeli pakaian dalam belanja murah.
akumelihatmataharitebenamdiataslaut;Aku melihat matahari terbenam di atas laut.
kamumenyapudirumahagarbersih;Kamu menyiapu di rumah agar bersih.
sayamenyanyikanlaguindahdengansuaramanis;Saya menyanyikan lagu indah dengan suara manis.
kamumemotretmomentindahdenganhandphone;Kamu memotret momen indah dengan handphone.
sayahobimenyanyikanlagudenganbahagia;Saya hobi menyanyikan lagu dengan bahagia.
kamuberikanhadiahspesialuntukorangtercinta;Kamu berikan hadiah spesial untuk orang tercinta.
akumakanmalamdirestoranmewah;Aku makan malam di restoran mewah.
sayabertemanbaikdengankucingpeliharaan;Saya berteman baik dengan kucing peliharaan.
kamumendapatkannotifikasipentingdariteman;Kamu mendapatkan notifikasi penting dari teman.
sayamencuciwangidengansabundanpelembutpakaian;Saya mencuci pakaian dengan sabun dan pelembut pakaian.
kamumakanmalamdiwarungmakanpadatengahhari;Kamu makan malam di warung makan pada tengah hari.
akumembacabukuterkenaldanterserudiakhirpekan;Aku membaca buku terkenal dan terseru di akhir pekan.
andamendengarkanmusikpujanggadanasyikdiwaktuluang;Anda mendengarkan musik pujangga dan asyik di waktu luang.
sayamenggambarlukisandenganpaletcatminiyangberwarna;Saya menggambar lukisan dengan palet cat mini yang berwarna.
kamubertemanbaikdengansetanakdalamkomunitas;Kamu berteman baik dengan set anakan dalam komunitas.
akumenyanyikandengansemenarikdansuarayangmerdu;Aku menyanyikan dengan semangat dan suara yang merdu.
sayamendengarkanlagumellowdantersedihdiwaktusendirian;Saya mendengarkan lagu mellow dan tersedih di waktu sendirian.
kamubermainperandramadenganperasaanmendalam;Kamu bermain peran drama dengan perasaan mendalam.
sayamenggunakankosmetikprodukterbarudengankualitasterbaik;Saya menggunakan kosmetik produk terbaru dengan kualitas terbaik.
andamembelipakaiandalammerekterkenaldenganpotonganyangmodis;Anda membeli pakaian dalam merek terkenal dengan potongan yang modis.
akumelihatmatahariterbenamdipantaimenakjubkan;Aku melihat matahari terbenam di pantai menakjubkan.
kamumenyapurumahagarbersihdanrapi;Kamu menyiapu rumah agar bersih dan rapi.
sayamenyanyikanlaguindahdenganbahagia;Saya menyanyikan lagu indah dengan bahagia.
kamumemotretpemandangancantikdengankameramobile;Kamu memotret pemandangan cantik dengan kamera mobile.
sayahobimenyanyikandengansemangatdanjiwamuda;Saya hobi menyanyikan dengan semangat dan jiwa muda.
andamengasahkemampuanbermaingitarsetiapharimalem;Anda mengasah kemampuan bermain gitar setiap hari malam.
akumakanmalamdirestoranmewahdenganpemandanganindah;Aku makan malam di restoran mewah dengan pemandangan indah.
sayabertemanbaikdengankucingpeliharaansayadiri;Saya berteman baik dengan kucing peliharaan saya sendiri.
kamumendapatkannotifikasipentingdaritemanterbaikmu;Kamu mendapatkan notifikasi penting dari teman terbaikmu.
sayatidurmalamditikungansantaidirumah;Saya tidur malam di tikungan santai di rumah.
kamumenyapumobilsetiaphariuntukmenjagakeselamatan;Kamu menyapu mobil setiap hari untuk menjaga keselamatan.
akumengucapkanselamatulangtahunkepadakakakkutercinta;Aku mengucapkan selamat ulang tahun kepada kakakku tercinta.
andamenontonfilmkomedilucudirumahdengankeluarga;Anda menonton film komedi lucu di rumah dengan keluarga.
sayamenggambarkaryasenirupadenganpensilwarna;Saya menggambar karya seni rupa dengan pensil warna.
kamumembuatkejutanistimewabagisahabatkaribmu;Kamu membuat kejutan istimewa bagi sahabat karibmu.
akumenyanyikandengansemangatdiataspentasbesar;Aku menyanyikan dengan semangat di atas pentas besar.
sayamendengarkanmusikklasikdalamperjalananjauh;Saya mendengarkan musik klasik dalam perjalanan jauh.
kamubermainsandiwaraingindenganbakatyangluarbiasa;Kamu bermain sandiwara ingin dengan bakat yang luar biasa.
sayamenggunakankosmetikprodukberkualitasuntukkecantikan;Saya menggunakan kosmetik produk berkualitas untuk kecantikan.
andamembelipakaianterbarudalamdiskonbesar;Anda membeli pakaian terbaru dalam diskon besar.
akumelihatmatahariyangterbitdiharisenja;Aku melihat matahari yang terbit di hari senja.
kamumelakukanolahragauntukmenjagakebugaran;Kamu melakukan olahraga untuk menjaga kebugaran.
sayamenyanyikansoloindahdenganemosiyangdalam;Saya menyanyikan solo indah dengan emosi yang dalam.
kamumenyapurumahsetiapharikarenakedisiplinan;Kamu menyiapu rumah setiap hari karena kedisiplinan.
sayamencintaitariandinantikeindahanalam;Saya mencintai tarian dinanti keindahan alam.
andamengasahkemampuanbahasaindahdantajam;Anda mengasah kemampuan bahasa indah dan tajam.
akumakanmalamditempatmakanromantisdenganpasangan;Aku makan malam di tempat makan romantis dengan pasangan.
sayabertemanbaikdengankucingpeliharaanyangsopan;Saya berteman baik dengan kucing peliharaan yang sopan.
kamumendapatkannotifikasipentingdaritemanterpercaya;Kamu mendapatkan notifikasi penting dari teman terpercaya.
akubelajarmatematikahinggadini;Aku belajar matematika hingga ini.
andamakanmakanansiapasirumah;Anda makan makanan siap saji di rumah.
sayahobimenggambarportraittokohterkenal;Saya hobi menggambar potret tokoh terkenal.
kamuberkendaramotorkeberbagaiwilayah;Kamu berkendara motor ke berbagai wilayah.
sayaberkebunmenanamtanamandanbunga;Saya berkebun menanam tanaman dan bunga.
akumenyaputangandiselahtugasrumah;Aku menyapu tangan di selah tugas rumah.
sayamendengarkanmusikpopdenganheadset;Saya mendengarkan musik pop dengan headset.
kamuberkelilingduniamengunjungiberbagaiobjekwisata;Kamu berkeliling dunia mengunjungi berbagai objek wisata.
